time,no1_el,no2_el,no3_el,no4_el,no1_rt,no2_rt,no3_rt,no4_rt,abs
2018-08-02 AM 5:00,59.33,62.32,59.60,49.27,999.65,953.61,928.76,674.11,3.47
2018-08-02 AM 6:00,59.37,62.25,58.27,48.72,995.22,945.54,906.80,672.07,3.51
2018-08-02 AM 7:00,60.21,62.98,60.20,50.74,1008.05,955.25,931.81,702.97,3.73
2018-08-02 AM 8:00,62.34,63.30,63.65,53.30,1029.58,952.85,963.49,727.96,4.3
2018-08-02 AM 9:00,65.73,64.06,67.80,56.16,1070.47,952.61,1001.15,765.53,6.11
2018-08-02 AM 10:00,67.12,65.25,69.81,58.08,1094.32,981.51,1019.16,796.56,6.44
2018-08-02 AM 11:00,68.01,65.08,70.02,58.13,1098.69,992.19,1014.68,780.78,6.46
2018-08-02 PM 12:00,68.64,65.21,70.02,58.19,1087.26,985.71,1005.72,774.73,6.42
2018-08-02 PM 1:00,68.72,65.67,70.14,58.06,1094.26,987.39,1005.79,782.91,6.47
2018-08-02 PM 2:00,69.12,66.30,70.01,57.91,1083.12,983.66,997.32,767.03,6.77
2018-08-02 PM 3:00,68.84,66.02,69.53,57.36,1072.29,966.84,989.74,761.38,6.78
2018-08-02 PM 4:00,70.05,68.32,70.15,58.09,1108.53,941.79,1005.72,776.03,6.52
2018-08-02 PM 5:00,69.15,66.84,69.44,56.32,1116.15,944.93,1008.07,760.83,6.24
2018-08-02 PM 6:00,65.69,66.90,68.04,52.67,1070.12,979.18,995.88,721.76,6.67
2018-08-02 PM 7:00,65.02,62.87,66.10,53.53,1065.74,957.85,983.40,741.49,6.92
2018-08-02 PM 8:00,65.10,61.06,66.06,55.08,1069.80,943.39,983.77,756.19,6.91
2018-08-02 PM 9:00,63.11,61.18,63.51,53.12,1031.97,931.72,946.64,731.38,6.73
2018-08-02 PM 10:00,65.19,62.13,66.94,54.35,1035.06,919.30,972.23,740.77,6.09
2018-08-02 PM 11:00,65.80,62.44,67.58,53.65,1047.64,930.25,980.56,730.51,3.53
2018-08-03 AM 12:00,67.17,64.83,69.29,55.38,1077.25,965.19,1005.51,750.28,3.85
2018-08-03 AM 1:00,69.62,68.06,70.06,56.72,1128.75,955.89,1014.37,768.80,4.64
2018-08-03 AM 2:00,67.53,66.73,69.21,54.00,1097.21,949.11,1005.61,738.31,4.45
